# Mz(eV) gL
1154.16409013 0.00000169
1490.34853791 0.00000168
1924.45665519 0.00000168
2485.01160871 0.00000168
3208.84478159 0.00000168
4143.51578732 0.00000168
5350.43738427 0.00000168
6908.91061418 0.00000168
8921.33529401 0.00000168
11519.93821787 0.00000168
14875.46114679 0.00000168
19208.37943267 0.00000168
24803.38839842 0.00000168
32028.10930506 0.00000168
41357.24398536 0.00000168
53403.76522925 0.00000168
68959.19229219 0.00000168
89045.59783711 0.00000168
114982.76343741 0.00000170
147843.65542987 0.00000173
191722.60358973 0.00000173
247567.48575588 0.00000178
319678.84253567 0.00000186
412794.76605306 0.00000195
533033.45798303 0.00000214
688295.22730147 0.00000238
888781.58177655 0.00000275
1147665.52021904 0.00000324
1481957.06718728 0.00000401
1913620.92028971 0.00000493
2418936.72145910 0.00000616
2993239.13112959 0.00000752
3703892.05167844 0.00000927
4583267.73421190 0.00001142
5671424.22899413 0.00001398
7017930.14296872 0.00001717
8684122.63004421 0.00002116
10745901.47198935 0.00002618
13297186.52822783 0.00003285
16454196.05115283 0.00004077
20360740.75632721 0.00005026
25194774.80744606 0.00006195
31176502.13195992 0.00007636
38578407.33296987 0.00009380
47737668.13381067 0.00011685
59071514.77729000 0.00014506
73096236.04367383 0.00017881
90450697.66530846 0.00022355
111925444.46820571 0.00027950
138498711.92547065 0.00034208
171380987.55072129 0.00042617
212070152.02903789 0.00052718
262419711.91996416 0.00064982
324723232.12522477 0.00080669
401818814.25893998 0.00100143
497218380.20568985 0.00122568
615267650.09826684 0.00153239
761344102.16461134 0.00189559
913711524.01104200 0.00227847

